Name,Address,City/Province,Postal Code,Country,Telephone,Email
Achēv,"Doncrest Market Place, 420 Highway 7 East","Richmond Hill, Ontario",L4B 3K2,Canada,Telephone: 1-855-330-8655,info@achev.ca
Action for Healthy Communities Society of Edmonton,200-10578 113 St NW,"Edmonton, Alberta",T5H 3H5,Canada,Telephone: 780-944-4687, 
Actions interculturelles de développement et d'éducation (AIDE) inc.,465 Rue Lawford  ,"Sherbrooke , Quebec",J1G 2C2,Canada,Telephone: 819-822-4180,aide@aide.org
Adult Language and Learning,16 George Street,"Blenheim, Ontario",N0P 1A0,Canada,Telephone: 519-676-3174, 
Adult Language and Learning,187 Brown Street,"Dresden, Ontario",N0P 1M0,Canada,Telephone: 519-354-2940, 
Adult Language and Learning,2 Queen Street,"Tilbury, Ontario",N0P 2L0,Canada,Telephone: 519-354-7424, 
Adult Language and Learning,209 James Street,"Wallaceburg, Ontario",N8A 2N4,Canada,Telephone: 519-354-7424, 
Adult Language and Learning,240 King Street West,"Chatham, Ontario",N7M 1E7,Canada,Telephone: 519-354-7424, 
Adult Language and Learning,285 McNaughton Avenue West,"Chatham, Ontario",N7L 2G7,Canada,Telephone: 519-354-7424, 
Adult Language and Learning,35 Talbot Road West,"Wheatley, Ontario",N0P 1A0,Canada,Telephone: 519-354-2940, 
Adult Language and Learning,54 Main Street,"Ridgetown, Ontario",N0P 2C0,Canada,Telephone: 519-948-5545, 
Afghan Women's Counselling and Integration Community Support Organization,"2555 Eglinton Avenue East, Unit 211","Toronto, Ontario",M1K 5J1,Canada,Telephone: 416-266-2936,aniazi@afghanwomen.org
Afghan Women's Counselling and Integration Community Support Organization,"747 Don Mills Road, Unit 30","Mississauga, Ontario",M3C 1T2,Canada,Telephone: 416-422-2225,aniazi@afghanwomen.org
Afghan Women's Counselling and Integration Community Support Organization,"789 Don Mills Road, Suite 700","Toronto, Ontario",M3C 1T5,Canada,Telephone: 416-588-3585,aniazi@afghanwomen.org
Afghan Women's Organization,"3050 Confederation Parkway, Unit 302","Mississauga, Ontario",L5B 3Z6,Canada,Telephone: 905-279-3679, 
Agape Language Centre,16 Bermuda Drive NW,"Calgary, Alberta",T3K 1H7,Canada,Telephone: 403-516-1846,nwoodburn@agapelanguagecentre.com
Agincourt Community Services Association,1911 Kennedy Road,"Scarborough, Ontario",M1P 2L9,Canada,Telephone: 416-321-6912, 
Agincourt Community Services Association,2219 Lawrence Avenue East,"Scarborough, Ontario",M1P 2P5,Canada,Telephone: 416-321-6912, 
Agincourt Community Services Association,3030 Lawrence Avenue East,"Scarborough, Ontario",M1P 2T7,Canada,Telephone: 416-321-6912, 
Agincourt Community Services Association,545 Markham Road,"Scarborough, Ontario",M1H 2A1,Canada,Telephone: 416-321-6912, 
Alberta International Medical Graduate School,"1409 Edmonton Trail NE, Suite 202","Calgary, Alberta",T2E 3K8,Canada,Telephone: 587-524-2750,calgary@aimga.ca
Alberta International Medical Graduate School,420-10055 106 Street NW ,"Edmonton, Alberta",T5J 2Y2,Canada,Telephone: 587-524-2750,edmonton@aimga.ca
Alberta Somali Community Centre,Unit 101 - 9219 111 Avenue  ,"Edmonton, Alberta",T5G 0A2,Canada,Telephone: 780-757-3334,albertasomalicommunitycentre@gmail.com
Algonquin and Lakeshore Catholic District School Board ,151 Dairy Avenue,"Napanee, Ontario",K7R 4B2,Canada,Telephone: 613-354-2255,info@alcdsb.on.ca
Algonquin Lakeshore Catholic District School Board,161 Bridge Street West,"Belleville, Ontario",K8P 1K2,Canada,Telephone: 613-544-3361, 
Alliance for South Asian AIDs Prevention,"120 Carlton Street, Unit 315","Toronto, Ontario",M5A 4K3,Canada,Telephone: 416-420-9577,settlementmanager@asaap.ca
Alliance for South Asian AIDs Prevention,315-120 Carlton Street,"Toronto, Ontario",M5A 4K3,Canada,Telephone: 416-420-9577,settlementmanager@asaap.ca
Altered Minds Inc.,400-259 Portage Avenue ,"Winnipeg, Manitoba",R3B 2A9,Canada,Telephone: 204-944-0133,information@entryprogram.ca
Archway Community Services Society,2420 Montrose Avenue,"Abbotsford, British Columbia",V2S 3S9,Canada,Telephone: 604-859-7681,hello@archway.ca
Assemblée communautaire fransaskoise (A.C.F.) Inc.,"29 11 Street East, 2nd floor","Prince Albert, Saskatchewan",S6V 0Z8,Canada, ,acf@fransaskois.sk.ca 
Assemblée communautaire fransaskoise (A.C.F.) Inc.,403 3rd Ave NW,"Moose Jaw, Saskatchewan",S6H 1K4,Canada,Telephone: 306-500-5304,acf@fransaskois.sk.ca 
Assiniboine Community College,1430 Victoria Avenue East,"Brandon, Manitoba",R7A 2A9,Canada,Telephone: 204-725-8744,esl@assiniboine.net
ASSIST Community Services Centre,2-810 Saddleback Road NW,"Edmonton, Alberta",T6J 4W4,Canada,Telephone: 780-429-3119, 
Association canadienne-française de l'Ontario - Conseil régional des Mille-Îles (ACFOMI),760 Highway 15,"Kingston, Ontario",K7I 0C3,Canada,Telephone: 613-546-7863,info@acfomi.org
Association des francophones de la région de York,90 Walton Drive  ,"Aurora, Ontario",L4G3K4,Canada,Telephone: 289-552-4297,info@afry.ca
Association des francophones du Nord-Ouest,"234, Van Norman Street","Thunder Bay, Ontario",P7A 4B8,Canada,Telephone: 888-248-1712, 
Association for New Canadians (ANC),118 Humphrey Road,"Labrador City, Newfoundland and Labrador",A2V 2L3,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association for New Canadians (ANC),144 Military Road,"St. John's, Newfoundland and Labrador",A1C 2E6,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association for New Canadians (ANC),28 Hardy Avenue,"Grand Falls-Windsor, Newfoundland and Labrador",A2A 2P8,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association for New Canadians (ANC),32 Main Street,"Forteau, Newfoundland and Labrador",A0K 2P0,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association for New Canadians (ANC),6 Hillcrest Road,"Happy Valley-Goose Bay, Newfoundland and Labrador",A0P 1E0,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association for New Canadians (ANC),"9 Main Street, Suite 203","Corner Brook, Newfoundland and Labrador",A2H 1C2,Canada,Telephone: 709-722-9680,settlement@nfld.net
Association franco-yukonnaise,302 Strickland Street,"Whitehorse, Yukon",Y1A 2K1,Canada,Telephone: 867-668-2663, 
Atlantic Region Association of Immigrant Serving Agencies (ARAISA),2132B-6960 Mumford Road,"Halifax, Nova Scotia",B3L 4P1,Canada,Telephone: 902-431-3203,INFO@ARAISA.CA
Aurora College,4509 Franklin Avenue,"Yellowknife, Northwest Territories",X1A 2B9,Canada,Telephone: 867-920-3279,info@auroracollege.nt.ca
Aurora Family Therapy Centre Inc.,515 Portage Avenue  ,"Winnipeg, Manitoba",R3B 2E9,Canada,Telephone: 204-786-9251,aurora@uwinnipeg.ca
Back in Motion,110 - 7525 King George Highway,"Surrey, British Columbia",V3W 5A8,Canada,Telephone: Inquiries Line: 604-575-3800; Reception: 604-575-3800, 
Battlefords Immigration Resource Centre,761C 106th Street,"North Battleford, Saskatchewan",S9A 1V9,Canada,Telephone: 306-446-0622,immigration2@accesscomm.ca
Big Brothers Big Sisters of Peel,"71 West Drive, Unit 23","Brampton, Ontario",L6T 5E2,Canada,Telephone: 905-457-7288, 
Bilingual Economic Development Network of Newfoundland and Labrador,"65 Ridge Road, Unit 245","St. John's, Newfoundland and Labrador",A1B 4P5,Canada,Telephone: 709-726-5976,info@rdeetnl.ca
Black Coalition for AIDS Prevention,"20 Victoria Street, 4th Floor","Toronto, Ontario",M5C 2N8,Canada,Telephone: 416-977-9955, 
Board of Education of School District No 43,1195 Lansdowne Drive,"Coquitlam, British Columbia",V3B 7Y8,Canada,Telephone: 604-937-8054, 
Board of Education of School District No 43,1600 King Albert Ave,"Coquitlam, British Columbia",V3J 1Y5,Canada,Telephone: 604-936-4201, 
Board of Education of School District No 43,3000 Pinewood Avenue,"Coquitlam, British Columbia",V3B 7Y7,Canada,Telephone: 604-464-2513, 
Board of Education of School District No 43,380 Montgomery Street,"Coquitlam, British Columbia",V3K 5G2,Canada,Telephone: 604-936-4261, 
Board of Governors of Red River College,339 River Road,"Arborg, Manitoba",R0C 0A0,Canada,Telephone: 204-793-1104,kbedard106@rrc.ca
Board of Governors of Red River College,430 Third Street,"Steinbach, Manitoba",R5G0K5,Canada,Telephone: 204-793-1104,steinbach-ltc@rrc.ca
Board of Governors of Red River College,"436 7 St E, The Pas","Thompson, Manitoba",R9A 1T4,Canada,Telephone: 204-793-1104,thompsonLTC@rrc.ca
Board of Governors of Red River College,C212-2055 Notre Dame Avenue ,"Winnipeg, Manitoba",R3H 0J9,Canada,Telephone: 204-632-2288,cle@rrc.ca
Bow Valley College,121 - 104 1st Avenue North West,"Calgary, Alberta",T4B 0R2,Canada,Telephone: 403-355-1910,bvcairdrie@bowvalleycollege.ca
Bow Valley College,229 Bear Street,"Calgary, Alberta",T1L 1A9,Canada,Telephone: 403-760-2485, 
Bow Valley College,2nd Floor 710 Centre Street SE ,"Calgary, Alberta",T1V 0H3,Canada,Telephone: 403-441-2399, 
Bow Valley College,335 - 6th Avenue South East,"Calgary, Alberta",T2G 4S6,Canada,Telephone: 403-410-3413,info@bowvalleycollege.ca
Boys & Girls Club of Moncton,15 Everett Street,"Moncton, New Brunswick",E1C 3Z6,Canada,Telephone: 506-858-0949, 
Boys and Girls Clubs Big Brothers & Big Sisters Society of Edmonton & Area,9425 109A Avenue NW,"Edmonton, Alberta",T5H 1G1,Canada,Telephone: 780-424-8181, 
Boys and Girls Clubs of Calgary,731 13th Avenue NE,"Calgary, Alberta",T2E 1C8,Canada,Telephone: 403-276-9981,info@bgcc.ab.ca
Bradford Immigrant & Community Services,"11 Holland Street East, PO Box 1564","Bradford, Ontario",L3Z 2B8,Canada,Telephone: 905-775-3343,inquiries@bradfordimmigrant.ca
Brampton Multicultural Community Centre,"197 County Court Boulevard, Suite 303","Brampton, Ontario",L6W 4P6,Canada,Telephone: 905-790-8482, 
Brampton Multicultural Community Centre,"4120 Ridgeway Drive, Unit 43","Mississauga, Ontario",L5L 5S9,Canada,Telephone: 905-790-8482, 
Brampton Multicultural Community Centre,"Civic Centre, 150 Central Park Drive, Suite 107","Brampton, Ontario",L6T 2T9,Canada,Telephone: 905-790-8482, 
Bredin Centre for Career Advancement Bredin Institute,"500, 9707 110 Street NW","Edmonton, Alberta",T5K 2L9,Canada,Telephone: 780-425-3730, 
Bredin Centre for Learning,500 - 5010 43 Street ,"Red Deer, Alberta",T4N 6H2,Canada,Telephone: 780-425-3730, 
British Columbia Construction Association,405-655 Tyee Road  ,"Victoria, British Columbia",V9A 6X5,Canada,Telephone: 250-475-1077,chris.atchison@bccassn.com
Brooks and County Immigration Services (BCIS) - CCIS is Umbrella organization,Unit 2 - 500 Cassils Road E,"Brooks, Alberta",T1R 1M6,Canada,Telephone: 403-362-0235, 
Burnaby Neighbourhood House,"4460 Beresford St, Burnaby, BC","Vancouver, British Columbia",V5H 0B8,Canada,Telephone: 604-431-0400,info@burnabynh.ca
Caledon Community Services,18 King Street East,"Caledon, Ontario",L7E 1E8,Canada,Telephone: 905-584-9460,engage@ccs4u.org
Calgary Bridge Foundation for Youth - Country Hills Library,"5920 Macleod Trail SW, Suite 620","Calgary, Alberta",T3K 6E3,Canada,Telephone: 403-260-2600,ureddy@cbfy.ca
Calgary Bridge Foundation For Youth - Education Centre CBE,1221 8 Street SW,"Calgary, Alberta",T2R 0L4,Canada,Telephone: 403-230-7745, 
Calgary Bridge Foundation for Youth - Macleod Place 1,5920 Macleod Trail SW,"Calgary, Alberta",T2H 0K2,Canada,Telephone: 403-230-7745,ureddy@cbfy.ca
Calgary Bridge Foundation for Youth - St. John Reception,15 12 Street NW ,"Calgary, Alberta",T2N IY4,Canada,Telephone: 403-230-7745,ureddy@cbfy.ca
Calgary Bridge Foundation for Youth - Village Square Library,2623 56 Street NE ,"Calgary, Alberta",T1Y 6E7,Canada,Telephone: 403-260-2600,ureddy@cbfy.ca
Calgary Catholic Immigration Society,"2nd Floor, 609 Centre Street","High River, Alberta",T1V 1R7,Canada,Telephone: 403-362-0236, 
Calgary Catholic Immigration Society,Bay 2 – 500 Cassils Road East,"Brooks, Alberta",T1R 1M6,Canada,Telephone: 403-362-0404,info@bcisbrooks.ca
Calgary Catholic Immigration Society,"87 Elizabeth Street, Bay 2","Okotoks, Alberta",T1S 1B3,Canada,Telephone: 403-362-0235, 
Calgary Catholic Immigration Society (CCIS),"1111 11 Avenue SW, 5th Floor","Calgary, Alberta",T2R 0G5,Canada,Telephone: 403-262-2006,contact@ccisab.ca
Calgary Catholic Immigration Society (CCIS),501 400 Crowfoot Crescent NW,"Calgary, Alberta",T3G 5H6,Canada,Telephone: 587-391-3386, 
Calgary Catholic Immigration Society (CCIS) - High River Branch (FCIS),"2nd Floor, 9A 710 Centre Street SE","High River, Alberta",T1V 0H3,Canada,Telephone: 403-652-5325, 
Calgary Catholic Immigration Society (CCIS) - Okotoks Branch (FCIS),"Office 4, Bay 2 87 Elizabeth Street","Okotoks, Alberta",T1S 1B3,Canada,Telephone: 403-938-4699, 
Calgary Immigrant Women's Association (CIWA),"138 - 4th Avenue SE, Suite 200","Calgary, Alberta",T2G 4Z6,Canada,Telephone: 403-263-4414, 
Calgary Region Immigrant Employment Council,880 105 12 Avenue SE ,"Calgary, Alberta",T2G 1A1,Canada,Telephone: 587-894-7580, 
Camosun College,"3100 Foul Bay Road, Victoria, BC ","Victoria, British Columbia",V8P 5J2,Canada,Telephone: 250-370-4683,plant@camosun.bc.ca
"Canadian Centre for Language and Cultural Studies, Inc.",1921 Eglinton Avenue East 2nd floor,"Toronto, Ontario",M1L 2L6,Canada,Telephone: 416-755-0406, 
"Canadian Centre for Language and Cultural Studies, Inc.","5734 Yonge Street, 2nd Floor","Toronto, Ontario",M2M 4E7,Canada,Telephone: 416-223-6613, 
"Canadian Centre for Language and Cultural Studies, Inc.","635 Markham Street, 2nd Floor","Toronto, Ontario",M6G 2M1,Canada,Telephone: 416-588-3900, 
Canadian Centre for Victims of Torture,1527 Victoria Park Avenue East,"Toronto, Ontario",M1L 2T3,Canada,Telephone: 416-750-9600, 
Canadian Centre for Victims of Torture,"194 Jarvis Street, 12th Floor","Toronto, Ontario",M5B 2B7,Canada,Telephone: 416-363-1066, 
Canadian Centre for Victims of Torture,"2401 Eglinton Avenue East, Unit 310","Toronto, Ontario",M1K 2N8,Canada,Telephone: 416-750-3045, 
Canadian Mental Health Association ,1101 Nicholson Rd Unit 5,"Newmarket, Ontario",L3Y9C3,Canada,Telephone: 905-841-3977,yorkregion@cmha-yr.on.ca
Canadian Mothercraft Society,646 St.Clair Avenue West,"Toronto, Ontario",M6C 1A9,Canada,Telephone: 416-483-0511, 
Canadian Tourism Human Resource Council,4-71 Bank Street,"Ottawa, Ontario",K1P 5N2,Canada,Telephone: 613-231-6949,info@tourismhr.ca
Canadian Ukrainian Immigrant Aid Society,"2383 Bloor Street, 2nd Floor","Toronto, Ontario",M6S 1P6,Canada,Telephone: 416-767-4595,cuias@cuias.org
Canadian Ukrainian Immigrant Aid Society,"540 Finch Avenue West, Unit 131","Toronto, Ontario",M2R 1N7,Canada,Telephone: 416-225-0511,cuias@cuias.org
Canus Trading Ltd.,202 - 7337 137 St.  ,"Surrey, British Columbia",V3W 1A4,Canada,Telephone: 604-507-4150, 
Canus Trading Ltd.,202 - 7337 137th Street,"Surrey, British Columbia",V3W 1A6,Canada,Telephone: 604-507-4150, 
Canus Trading Ltd.,208 – 2525 Commercial Drive,"Vancouver, British Columbia",V5N 4C1,Canada,Telephone: 604-876-5756, 
Cape Breton Regional Library,50 Falmouth Street,"Sydney, Nova Scotia",B1P 6X9,Canada,Telephone: 902-562-3279,info@cbrl.ca
Capilano University: Pemberton Welcome Centre,7390A Cottonwood Street,"Pemberton, British Columbia",V0N 2L1,Canada,Telephone: 604-698-5960,info@welcomepemberton.ca
Capilano University: Squamish Welcome Centre,38027 Cleveland Ave.,"Squamish, British Columbia",V8B 0B8,Canada,Telephone: 604-567-2222, 
Capilano University: Sunshine Coast Welcoming Communities,5627 Inlet Avenue,"Sechelt, British Columbia",V0N 3A0,Canada,Telephone: 604-212-2716,info@welcoming-communities.ca
Capilano University: Whistler Welcome Centre,4329 Main Street,"Whistler, British Columbia",V8E 1B2,Canada,Telephone: 604-698-5960, 
Cariboo Chilcotin Partners for Literacy Society,"#100 – 475 Birch Avenue, P.O. Box 1067","100 Mile House, British Columbia",V0K2E0,Canada,Telephone: 250-395-0655, 
Cariboo Chilcotin Partners for Literacy Society,118 C 1st Ave North,"WILLIAMS LAKE, British Columbia",V2G1Y8,Canada,Telephone: 250-392-7833, 
Carizon Family and Community Services,400 Queen Street South,"Kitchener, Ontario",N2G 1W7,Canada,Telephone: 519-743-6333, 
Carlton Trail College,"611- 17th Street, Box 720 ","Humboldt, Saskatchewan",S0K 2A0,Canada,Telephone: 306-682-2623,information@carltontrailcollege.com
Carrefour Nunavut,"Bldg, 723, P.O. Box 909","Iqaluit, Nunavut",X0A0H0,Canada,Telephone: 867-979-2800,info@carrefournunavut.ca
Catholic Centre for Immigrants,"219 Argyle Avenue, Suite 500","Ottawa, Ontario",K2P 2H4,Canada,Telephone: 613-232-9634, 
Catholic Centre for Immigrants- Reception House,204 Boteler Street,"Ottawa, Ontario",K1N 5A7,Canada,Telephone: 613-232-9634, 
Catholic Community Services of York Region,1 Atkinson Street,"Richmond Hill, Ontario",L4C 0H5,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,"16655 Yonge Street, Unit 26","Markham, Ontario",L3X 1V6,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,21 Dunlop Street,"Richmond Hill, Ontario",L4C 2M6,Canada,Telephone: 905-770-7040,counselling@ccsyr.org
Catholic Community Services of York Region,320 Bloomington Road West,"Aurora, Ontario",L4G 0M1,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,475 Brownridge Drive,"Thornhill, Ontario",L4J 5Y6,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,"60 Wellington Street West, Box 40","Aurora, Ontario",L4G 2V3,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,7220 Kennedy Road,"Markham, Ontario",L3R 4N7,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,"8400 Woodbine Avenue, Suite 102-103","Markham, Ontario",L3R 4N7,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Community Services of York Region,9325 Yonge Street,"Richmond Hill, Ontario",L4C 0A8,Canada,Telephone: 1-877-761-1155,inp@ccsyr.org
Catholic Community Services of York Region,"Angus Glen Library, 3990 Major Mackenzie Drive East","Markham, Ontario",L6P 1P8,Canada,Telephone: 1-877-761-1155,info@welcomecentre.ca
Catholic Crosscultural Services,"1081 Progress Ave, Burrows Hall Library         ","Toronto, Ontario",M1B 5Z6,Canada,Telephone: 416-396-8742, 
Catholic Crosscultural Services,"1200 Markham Road, Suite 503","Toronto, Ontario",M1H 3C3,Canada,Telephone: 416-289-6766, 
Catholic Crosscultural Services,1477 Mississauga Valley Blvd,"Mississauga, Ontario",L5A 3Y4,Canada,Telephone: 905-232-7010, 
Catholic Crosscultural Services,164 Queen Street East,"Brampton, Ontario",L6V 1B4,Canada,Telephone: 905-457-7740, 
Catholic Crosscultural Services,"2206 Eglinton Avenue East, Suite 124","Toronto, Ontario",M1L 4S7,Canada,Telephone: 416-759-8800, 
Catholic Crosscultural Services,"3227 Eglinton Avenue East, Suite 135","Toronto, Ontario",M1J 3M5,Canada,Telephone: 416-266-7200, 
Catholic Crosscultural Services,"3660 Hurontario Street, 7th Floor","Mississauga, Ontario",L5B 3C4,Canada,Telephone: 905-273-4140, 
Catholic Crosscultural Services,"4557 Hurontario Street, Unit B11","Mississauga, Ontario",L4Z 3x3,Canada,Telephone: 905-272-1703, 
Catholic Crosscultural Services,"55 Town Centre Court, Suite 401","Toronto, Ontario",M1P 4X4,Canada,Telephone: 416-290-1700, 
Catholic Crosscultural Services,"ACCES Brampton, 44 Peel Centre Dr., Suite 201       ","Brampton, Ontario",L6T 4B5,Canada,Telephone: 905-454-2316, 
Catholic Crosscultural Services,"ACCES Mississauga, 151 City Centre Dr., Suite 600       ","Mississauga, Ontario",L5B 1M8,Canada,Telephone: 905-361-2522, 
Catholic Crosscultural Services,"Agincourt District Library, 155 Bonis Avenue        ","Toronto, Ontario",M1T 3W6,Canada,Telephone: 416-396-8943, 
Catholic Crosscultural Services,"Albert Campbell Library, 496 Birchmount Rd        ","Toronto, Ontario",M1K1N8,Canada,Telephone: 416-396-8911, 
Catholic Crosscultural Services,"Cedarbrea Library, 545 Markham Rd        ","Toronto, Ontario",M1H 2A2,Canada,Telephone: 416-396-8867, 
Catholic Crosscultural Services,"Dr. Roz's Healing Place Shelter, 21 Brimley Road        ","Toronto, Ontario",M1M 1H3,Canada,Telephone: 416-264-0823, 
Catholic Crosscultural Services,East Scarborough Storefront 4040 Lawrence Ave East        ,"Toronto, Ontario",M1E 2R5,Canada,Telephone: 416-208-4421, 
Catholic Crosscultural Services,"Goldhawk Park Library, 295 Alton Tower        ","Toronto, Ontario",M1V 4P1,Canada,Telephone: 416-396-8965, 
Catholic Crosscultural Services,"Maryvale Library, 85 Ellesmere Rd, Unit 16        ","Toronto, Ontario",M1R 4B9,Canada,Telephone: 416-396-8931, 
Catholic Crosscultural Services,"Newcomer Information Centre Brampton East, 263 Queen St E Suite 14      ","Brampton, Ontario",L6W 4K6,Canada,Telephone: 905-595-0722, 
Catholic Crosscultural Services,"Newcomer Information Centre Brampton South, 7700 Hurontario St Suite 100      ","Brampton, Ontario",L6Y 4M3,Canada,Telephone: 905-457-4747, 
Catholic Crosscultural Services,"Newcomer Information Centre Malton, 7420 Airport Rd Unit 104       ","Mississauga, Ontario",L4T 4E5,Canada,Telephone: 905-677-0007, 
Catholic Crosscultural Services,"Newcomer Information Centre, 50 Burhamthorpe Rd W Suite 300       ","Mississauga, Ontario",L5B 3C2,Canada,Telephone: 905-949-0049, 
Catholic Crosscultural Services,"Ontario Early Years Centre (OEYC), 4218 Lawrence Ave E        ","Toronto, Ontario",M1E 4X9,Canada,Telephone: 416-282-7284, 
Catholic Crosscultural Services,SCoP 60 West Drive        ,"Brampton, Ontario",L6T 3T6,Canada,Telephone: 905-450-4650, 
Catholic Crosscultural Services,"Woodside Square Library, 1571 Sandhurst Circle        ","Toronto, Ontario",M1V 1V2,Canada,Telephone: 416-396-8980, 
Catholic Social Services Edmonton,8212 118 Avenue NW,"Edmonton, Alberta",T5B 0S3,Canada,Telephone: 780-424-3545, 
Catholic Social Services Lloydminster,6612 - 35 Street,"Lloydminster, Alberta",T9V 0H9,Canada,Telephone: 780-875-9084,shauna.godin@cssalberta.ca
Catholic Social Services Red Deer,"5000 Gaetz Avenue, Suite 202","Red Deer, Alberta",T4N 6C2,Canada,Telephone: 403-346-8818, 
Central Alberta Immigrant Women's Association (CAIWA),#1-4910 45th Street  ,"Red Deer, Alberta",T4N 1K6,Canada,Telephone: 403-341-3553, 
Central Alberta Refugee Effort (CARE) Committee,"5000 Gaetz Avenue, Suite 202","Red Deer, Alberta",T4N 6C2,Canada,Telephone: 403-346-8818 ext. 228, 
Central Vancouver Island Multicultural Society,"101, 319 Selby Street","Nanaimo, British Columbia",V9R 2R4,Canada,Telephone: 250-753-6911, 
Centre Communautaire Francophone Windsor-Essex-Kent,1775 Totten Street,"Windsor, Ontario",N9B 1X4,Canada,Telephone: 519-948-5545, 
Centre Communautaire Francophone Windsor-Essex-Kent,1799 Ottawa Street,"Windsor, Ontario",N8Y 1R4,Canada,Telephone: 519-948-5545, 
Centre Communautaire Francophone Windsor-Essex-Kent,2520 CabanaWest,"Windsor, Ontario",N8X 1E4,Canada,Telephone: 519-948-5545, 
Centre Communautaire Francophone Windsor-Essex-Kent,2716 route 42,"St.Joachim, Ontario",N0R 1S0,Canada,Telephone: 519-948-5545, 
Centre Communautaire Francophone Windsor-Essex-Kent,395 Tecumseh Road West,"Windsor, Ontario",N8X 1X4,Canada,Telephone: 519-948-5545, 
Centre Communautaire Francophone Windsor-Essex-Kent,5305 Tecumseh Road East,"Windsor, Ontario",N8T 1C5,Canada,Telephone: 519-948-5545, 
